Dam,Date,CohoAdult,CohoJack
WFA,8/1/2023,0,0
WFA,8/2/2023,0,0
WFA,8/3/2023,0,0
WFA,8/4/2023,0,0
WFA,8/5/2023,0,0
WFA,8/6/2023,0,0
WFA,8/7/2023,0,0
WFA,8/8/2023,0,0
WFA,8/9/2023,0,0
WFA,8/10/2023,0,0
WFA,8/11/2023,0,0
WFA,8/12/2023,0,0
WFA,8/13/2023,0,0
WFA,8/14/2023,0,0
WFA,8/15/2023,0,0
WFA,8/21/2023,0,0
WFA,8/22/2023,0,0
WFA,8/23/2023,0,0
WFA,8/24/2023,0,0
WFA,8/25/2023,0,0
WFA,8/26/2023,0,0
WFA,8/27/2023,0,0
WFA,8/28/2023,0,0
WFA,8/29/2023,0,0
WFA,8/30/2023,4,0
WFA,8/31/2023,4,0
WFA,9/1/2023,23,3
WFA,9/2/2023,8,0
WFA,9/3/2023,4,0
WFA,9/4/2023,5,0
WFA,9/5/2023,6,0
WFA,9/6/2023,20,4
WFA,9/7/2023,57,16
WFA,9/8/2023,233,71
WFA,9/9/2023,221,59
WFA,9/10/2023,58,14
WFA,9/11/2023,455,132
WFA,9/12/2023,477,141
WFA,9/13/2023,687,203
WFA,9/14/2023,839,227
WFA,9/15/2023,711,236
WFA,9/16/2023,643,265
WFA,9/17/2023,1027,424
WFA,9/18/2023,1167,612
WFA,9/19/2023,908,482
WFA,9/20/2023,1149,554
WFA,9/21/2023,871,531
WFA,9/22/2023,1090,577
WFA,9/23/2023,836,426
WFA,9/24/2023,596,227
WFA,9/25/2023,462,271
WFA,9/26/2023,1066,472
WFA,9/27/2023,1047,396
WFA,9/28/2023,1241,469
WFA,9/29/2023,965,265
WFA,9/30/2023,1086,292
WFA,10/1/2023,840,240
WFA,10/2/2023,683,250
WFA,10/3/2023,718,309
WFA,10/4/2023,624,356
WFA,10/5/2023,497,255
WFA,10/6/2023,427,323
WFA,10/7/2023,448,271
WFA,10/8/2023,538,253
WFA,10/9/2023,386,142
WFA,10/10/2023,281,151
WFA,10/11/2023,340,133
WFA,10/12/2023,440,148
WFA,10/13/2023,351,70
WFA,10/14/2023,387,62
WFA,10/15/2023,406,71
WFA,10/16/2023,361,62
WFA,10/17/2023,221,24
WFA,10/18/2023,156,32
WFA,10/19/2023,145,34
WFA,10/20/2023,89,15
WFA,10/21/2023,79,28
WFA,10/22/2023,58,17
WFA,10/23/2023,69,23
WFA,10/24/2023,89,19
WFA,10/25/2023,104,24
WFA,10/26/2023,64,19
WFA,10/27/2023,69,6
WFA,10/28/2023,45,7
WFA,10/29/2023,64,9
WFA,10/30/2023,36,10
WFA,10/31/2023,26,7
WFA,11/1/2023,13,7
WFA,11/2/2023,78,14
WFA,11/3/2023,42,6
WFA,11/4/2023,160,13
WFA,11/5/2023,335,43
WFA,11/6/2023,337,56
WFA,11/7/2023,143,26
WFA,11/8/2023,38,18
WFA,11/9/2023,62,12
WFA,11/10/2023,25,8
WFA,11/11/2023,14,10
WFA,11/12/2023,52,9
WFA,11/13/2023,36,5
WFA,11/14/2023,25,12
WFA,11/15/2023,30,10
WFA,11/16/2023,27,11
WFA,11/17/2023,11,14
WFA,11/18/2023,0,5
WFA,11/19/2023,11,4
WFA,11/20/2023,15,9
WFA,11/21/2023,7,2
WFA,11/22/2023,9,3
WFA,11/23/2023,6,1
WFA,11/24/2023,5,2
WFA,11/25/2023,0,0
WFA,11/26/2023,3,1
WFA,11/27/2023,3,0
WFA,11/28/2023,7,0
WFA,11/29/2023,2,0
WFA,11/30/2023,-1,0
WFA,12/1/2023,3,0
WFA,12/2/2023,3,2
WFA,12/3/2023,4,4
WFA,12/4/2023,13,5
WFA,12/5/2023,5,0
WFA,12/6/2023,-4,0
WFA,12/7/2023,2,0
WFA,12/8/2023,-2,0
WFA,12/9/2023,1,0
WFA,12/10/2023,2,0
WFA,12/11/2023,-2,0
WFA,12/12/2023,-3,0
WFA,12/13/2023,6,0
WFA,12/14/2023,5,0
WFA,12/15/2023,1,1
WFA,12/16/2023,6,0
WFA,12/17/2023,3,1
WFA,12/18/2023,4,1
WFA,12/19/2023,4,1
WFA,12/20/2023,11,0
WFA,12/21/2023,22,1
WFA,12/22/2023,9,3
WFA,12/23/2023,8,2
WFA,12/24/2023,9,2
WFA,12/25/2023,8,2
WFA,12/26/2023,2,2
WFA,12/27/2023,6,0
WFA,12/28/2023,8,0
WFA,12/29/2023,13,0
WFA,12/30/2023,13,1
WFA,12/31/2023,2,1
At   for the year 2023, the start date is 01/01/2023 and the end date is 12/31/2023.,,
This file contains count data for the requested time period of: 01-01-2023 to 12-31-2023.,,,
